Date,Ordered Product Sales,Ordered Product Sales - B2B,Units Ordered,Units Ordered - B2B,Total Order Items,Total Order Items - B2B,Page Views - Total,Page Views - Total - B2B,Sessions - Total,Sessions - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Average Offer Count,Average Parent Items
1/4/26,$0.00,$0.00,0,0,0,0,48,0,37,0,100.00%,0.00%,0.00%,0.00%,5,3
1/5/26,$20.00,$0.00,1,0,1,0,35,1,27,1,100.00%,0.00%,3.70%,0.00%,5,3
1/6/26,$50.98,$0.00,3,0,3,0,30,0,25,0,100.00%,0.00%,12.00%,0.00%,5,3
1/7/26,$57.99,$0.00,3,0,3,0,44,0,35,0,100.00%,0.00%,8.57%,0.00%,5,3
1/8/26,$50.97,$0.00,3,0,3,0,32,0,25,0,100.00%,0.00%,12.00%,0.00%,5,3
1/9/26,$18.99,$0.00,1,0,1,0,30,0,20,0,100.00%,0.00%,5.00%,0.00%,5,3
1/10/26,$37.99,$0.00,2,0,2,0,16,0,13,0,100.00%,0.00%,15.38%,0.00%,5,3
1/11/26,$68.99,$0.00,3,0,3,0,18,0,16,0,100.00%,0.00%,18.75%,0.00%,5,3
1/12/26,$20.00,$0.00,1,0,1,0,39,0,21,0,100.00%,0.00%,4.76%,0.00%,5,3
1/13/26,$71.98,$0.00,4,0,4,0,29,0,23,0,100.00%,0.00%,17.39%,0.00%,5,3
1/14/26,$68.99,$0.00,3,0,3,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0
